date,meal,items,kcal_low,kcal_high,protein_low,protein_high,fat_low,fat_high,status,notes
2026-09-12,Dinner,2 chapati + chicken varutharachathu (gravy poured over),460,650,23,32,23,39,logged,Mess Saturday dinner; whole container poured on rather than the chicken lifted out
2026-09-13,Breakfast,2 wheat porotta + kadala curry,520,750,16,22,20,36,logged,Sunday mess breakfast; kadala poured over. A second container in the photo was not identifiable and is not counted
2026-09-13,Lunch,"Ghee rice (halved) + chicken curry + curd",440,630,21.5,29.5,18.5,31,logged,Rice halved. Curry container photographed near-empty - counted as eaten in full
2026-09-13,Snack,2 boiled eggs,140,156,12,13,10,11,logged,Took the eggs over the fourth scoop
2026-09-13,Dinner,2 chapati + egg roast (1 egg) + 2 boiled eggs,540,696,26,31,28,39,logged,Two extra boiled eggs on the side beyond the mess portion; roast masala visibly oily
2026-09-14,Breakfast,Large restaurant dosa + sambar + red chutney (white coconut chutney skipped),380,590,10,16,14,29,logged,Sixth skip of the coconut chutney; eaten out rather than from the mess
2026-09-14,Lunch,"Mess meals plate (rice halved) + 1 fried fish piece + veg curry, sambar, thin curry, white side, green side",565,950,22.5,34,23,48,logged,All four side containers opened and eaten - confirmed by the user
2026-09-14,Snack,Black coffee + 1 whey scoop,100,130,20,25,1,3,logged,Scoop 1 of the 3 planned for today
2026-09-14,Dinner,Leftover half rice from lunch + chicken curry,375,560,20,27,12,19,logged,Rice reused from the lunch container; green 330 ml can in the photo not identified and not counted
2026-09-15,Breakfast,Large restaurant dosa + sambar + red chutney (white chutney skipped),380,590,10,16,14,29,logged,Seventh skip of the white chutney; eaten out again
2026-09-15,Lunch,2 chapati + chicken curry with 4 chicken pieces,420,600,26,36,18,29,logged,Chapati taken instead of the menu's ghee rice - cheaper and more protein
2026-09-15,Snack,1 slice birthday cake,250,400,3,5,12,22,logged,33rd birthday
2026-09-15,Dinner,"Half ghee rice + chicken curry + 2 pieces beef varattiyathu + raita",690,1030,44,62,33,58,logged,Not the menu's green peas - chicken and beef both on the plate; best protein dinner of the twelve days
2026-09-16,Breakfast,2 puttu pieces + kadala curry,560,800,14,20,16,30,logged,Eaten out at Grill Spot; both pieces confirmed eaten
2026-09-16,Supplement,1 omega-3 fish oil 1000 mg + 1 vitamin D3 50000 IU capsule,10,20,0,0,1,2,logged,Negligible calories; D3 50000 IU is a weekly-dose strength
2026-09-16,Lunch,"Mess meals plate (rice halved) + 1 fried fish + sambar/veg curry on the plate",385,580,16,23,11,20,logged,Plate only
2026-09-16,Lunch,"Side containers onto the plate: cabbage-carrot thoran, battered fried pieces, coconut chammanthi",270,470,9,18,19,36,logged,Confirmed by the plated photo - higher than the 200-400 assumed because of the large chammanthi dollop and a fried item
2026-09-16,Dinner,Leftover half rice from lunch + chicken curry,375,560,20,27,12,19,logged,Rice reused from the lunch container; no chapati
2026-09-16,Snack,3 whey scoops + water,300,390,60,75,3,9,logged,Closing scoops confirmed - first full evening dose logged in five days
2026-09-17,Breakfast,Large restaurant dosa + sambar + red chutney (white chutney skipped),380,590,10,16,14,29,logged,Eighth skip of the white chutney
2026-09-17,Snack,Black coffee + 1 whey scoop,100,130,20,25,1,3,logged,Scoop 1
2026-09-17,Lunch,"Mess meals plate (rice halved) + 1 fried fish + sambar, cabbage thoran, 2 veg curries + moru curry",645,1030,24,37,28,52,logged,Only the moru container taken rather than all four
2026-09-17,Snack,Black coffee + 2 whey scoops,200,260,40,50,2,6,logged,Scoops 2 and 3
2026-09-17,Dinner,"Charcoal grilled chicken piece + Malabar porotta + hummus, garlic toum, tomato-onion mezze, pickles",840,1240,60.5,79,46,79,logged,Restaurant grilled chicken meal
2026-09-18,Breakfast,2 puttu pieces + kadala curry,560,800,14,20,16,30,logged,Same breakfast as Day 13
2026-09-18,Lunch,"Chicken biriyani (rice halved) + 2 chicken pieces + raita + garlic pickle",480,730,29.5,43,22,40,logged,Rice halved; 2 chicken pieces
2026-09-18,Snack,Black coffee + 1 whey scoop,100,130,20,25,1,3,logged,Scoop 1
2026-09-18,Dinner,2 chapati + kadala curry,400,560,14,18,11,18,logged,Mess Friday dinner
2026-09-19,Breakfast,2 set dosa + vegetable sambar + red chutney (no white chutney),480,710,12.5,20,17,34,logged,Eaten out; generous sambar poured over both dosa
2026-09-19,Lunch,"Mess meals plate (rice halved) + 1-egg omelette + sambar, cabbage thoran, veg curry, curd",615,960,23,33,26,47,logged,Corrected - the flat item was a thin 1-egg omelette, not a pappadam
2026-09-19,Snack,Black coffee + 1.5 whey scoops,150,195,30,37.5,1.5,4.5,logged,Scoop 1 and a half
2026-09-19,Dinner,"Grilled chicken piece + chicken curry + 2 chapati + 1 boiled egg",650,938,52,72.5,29,48.5,logged,Sprite can in the photo not identified - counted as zero-sugar
2026-09-20,Breakfast,1 porotta + kadala curry,360,550,12,16,16,27,logged,Took 1 porotta rather than the menu's 2 - saves ~205 kcal
2026-09-20,Lunch,"Ghee rice (halved) + chicken curry + curd",490,710,26,36,21,36,logged,Rice halved despite the day having room for it
2026-09-20,Snack,1 parippu vada + milk coffee (no sugar),170,280,7,10.5,9,16,logged,First milk coffee logged - black coffee is ~2 kcal against this ~60
2026-09-20,Snack,1 small stuffed squid (pan-fried),130,200,10,14,8,15,logged,7.3 g protein per 100 kcal - double the mess average
2026-09-20,Snack,Clear soup (one spoonful only),5,12,0,0.5,0,0.5,logged,Corrected - only a spoonful was taken, not the bowl
2026-09-20,Drink,Mint juice (small cup),60,140,0,0.5,0,0.5,logged,Assumed sweetened - if unsweetened it is nearer 15 kcal
